,admissions,answerurl,belong,central,city_id,city_name,code_enroll,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,is_logo,is_recruitment,is_top,level,level_name,name,nature,nature_name,province_id,province_name,rank,rank_type,school_id,school_type,special,type,type_name,view_month,view_month_number,view_total,view_total_number,view_week,view_week_number,view_year
22,1,https://answer.eol.cn/fillmess/index?id=701&source=zsgk_app,教育部,2,3701,济南市,1042200,370112,历城区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,山东大学,36000,公办,37,山东,,,126,6000,[],5000,综合类,6w,59915,1734.2w,17342383,8523,8523,0
23,1,https://answer.eol.cn/fillmess/index?id=698&source=zsgk_app,教育部,2,4301,长沙市,1053300,0,,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中南大学,36000,公办,43,湖南,,,123,6000,[],5000,综合类,16.6w,166224,2135.6w,21356423,2.2w,22032,0
24,1,https://answer.eol.cn/fillmess/index?id=685&source=zsgk_app,工业和信息化部,1,6101,西安市,1069900,610103,碑林区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,西北工业大学,36000,公办,61,陕西,,,107,6000,[],5001,理工类,12.1w,120723,1165.7w,11657155,1.5w,14634,0
25,1,https://answer.eol.cn/fillmess/index?id=683&source=zsgk_app,教育部,2,4401,广州市,1056100,440106,天河区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,华南理工大学,36000,公办,44,广东,,,105,6000,[],5000,综合类,12.7w,126762,1651.2w,16511838,1.6w,15819,0
26,1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3502,厦门市,1038400,350203,思明区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,厦门大学,36000,公办,35,福建,,,102,6000,[],5000,综合类,30.2w,301707,3887w,38869583,3.8w,37848,0
27,1,,教育部,2,2201,长春市,1018300,220104,朝阳区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,吉林大学,36000,公办,22,吉林,,,122,6000,[],5000,综合类,4.6w,46007,1508w,15080012,6177,6177,0
28,1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,3101,上海市,1026900,310112,闵行区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,华东师范大学,36000,公办,31,上海,,,131,6000,[],5000,综合类,3.4w,33618,1037.6w,10376223,5314,5314,0
29,1,https://answer.eol.cn/fillmess/index?id=1100&source=zsgk_app,教育部,2,1101,北京市,1001900,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,中国农业大学,36000,公办,11,北京,,,557,6000,[],5002,农林类,3.3w,33316,774.4w,7743631,3358,3358,0
30,1,https://answer.eol.cn/fillmess/index?id=1189&source=zsgk_app,教育部,2,5101,成都市,1061400,510108,成华区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,电子科技大学,36000,公办,51,四川,,,661,6000,[],5001,理工类,15.8w,158454,1982.7w,19826503,2.1w,21291,0
31,1,https://answer.eol.cn/fillmess/index?id=713&source=zsgk_app,教育部,2,2102,大连市,1014100,210211,甘井子区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,大连理工大学,36000,公办,21,辽宁,,,138,6000,[],5001,理工类,10.8w,108429,1494.2w,14941611,1.2w,12237,0
32,1,https://answer.eol.cn/question/index?id=623&source=zsgk_app,教育部,2,4301,长沙市,1053200,430104,岳麓区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,湖南大学,36000,公办,43,湖南,,,44,6000,[],5000,综合类,10.7w,107217,1770.4w,17703920,1.3w,13290,0
33,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,工业和信息化部,1,3201,南京市,1028800,320102,玄武区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京理工大学,36000,公办,32,江苏,,,112,6000,[],5001,理工类,4.2w,41870,856.3w,8562756,4656,4656,0
34,2,https://answer.eol.cn/fillmess/index?id=705&source=zsgk_app,教育部,2,3101,上海市,1027200,310110,杨浦区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,上海财经大学,36000,公办,31,上海,,,130,6000,[],5006,财经类,2.5w,24659,1143.4w,11434256,4022,4022,0
35,1,https://answer.eol.cn/fillmess/index?id=696&source=zsgk_app,教育部,2,5001,重庆市,1061100,500106,沙坪坝区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,重庆大学,36000,公办,50,重庆,,,119,6000,[],5000,综合类,11.2w,112107,1762.5w,17625332,1.5w,14841,0
36,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,广东省,2,4403,深圳市,1432500,0,,2,0,38000,双一流,2,2,1,1,2,2001,普通本科,南方科技大学,36000,公办,44,广东,,,2941,6000,[],5001,理工类,13.1w,130896,319.4w,3194155,13.1w,130896,0
37,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1000800,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京科技大学,36000,公办,11,北京,,,144,6000,[],5001,理工类,2.5w,24798,708.3w,7083351,2904,2904,0
38,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,工业和信息化部,1,3201,南京市,1028700,320104,秦淮区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,南京航空航天大学,36000,公办,32,江苏,,,77,6000,[],5001,理工类,4.1w,40685,819.4w,8194242,5298,5298,0
39,1,,教育部,2,6201,兰州市,1073000,620102,城关区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,兰州大学,36000,公办,62,甘肃,,,97,6000,[],5000,综合类,3.4w,34041,1147.7w,11476697,4262,4262,0
40,1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,2101,沈阳市,1014500,210102,和平区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,东北大学,36000,公办,21,辽宁,,,134,6000,[],5001,理工类,9.1w,91092,1290.6w,12905728,1.1w,11088,0
41,2,,教育部,2,1101,北京市,1000400,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,北京交通大学,36000,公办,11,北京,,,38,6000,[],5001,理工类,3.3w,33330,790.4w,7904443,3729,3729,0
