,0,1,2,3,4,5,6
178,上海市,市辖区,913101157345878593001P,上海舜胜高分子有限公司,初级形态塑料及合成树脂制造,2022-01-01至2026-12-31,2022-01-01
179,上海市,市辖区,913100007333800046001Q,艾思斯（上海）化工有限公司,涂料制造,2022-10-09至2027-10-08,2022-10-09
180,上海市,市辖区,91310118555940194P001U,上海君子兰新材料股份有限公司,涂料制造,2022-10-09至2027-10-08,2022-10-09
181,上海市,市辖区,91310118703208107G001U,纽沃得复合建材（上海）有限公司,涂料制造,2022-01-01至2026-12-31,2022-01-01
182,上海市,市辖区,91310118741635863R001Q,上海皓联涂料有限公司,涂料制造,2020-07-24至2023-07-23,2020-07-24
183,上海市,市辖区,91310000740290525C001P,上海瑞昌亚克力工业有限公司,初级形态塑料及合成树脂制造,2020-04-30至2023-04-29,2020-04-30
184,上海市,市辖区,91310000660778539R001X,有行鲨鱼（上海）科技股份有限公司,其他专用化学产品制造,2020-07-24至2023-07-23,2020-07-24
185,上海市,市辖区,91310118744944450K001U,上海赫玛工业涂料有限公司,涂料制造,2022-09-30至2027-09-29,2022-09-30
186,上海市,市辖区,9131011867116564X2001Q,上海新禾绿生物有机肥有限公司,有机肥料及微生物肥料制造,2020-09-01至2023-08-31,2020-08-15
187,上海市,市辖区,913101188322463883001Q,上海华谊精细化工有限公司上海开林造漆厂,涂料制造,2022-09-30至2027-09-29,2022-09-30
188,上海市,市辖区,913101186887606805001U,上海集丰复合材料有限公司,涂料制造,2022-01-17至2027-01-16,2022-01-17
189,上海市,市辖区,91310114320839526E001V,上海麟光新材料科技有限公司,无机盐制造,2022-09-30至2027-09-29,2022-09-30
190,上海市,市辖区,913101147579278019001X,上海畅消涂料有限公司,涂料制造,2021-10-13至2026-10-12,2021-10-13
191,上海市,市辖区,91310000607295634U001V,中涂化工（上海）有限公司2,涂料制造,2020-08-24至2023-08-23,2020-08-24
192,上海市,市辖区,91310000750570563L001Q,彩皇（上海）精密化学有限公司,涂料制造,2020-07-23至2023-07-22,2020-07-23
193,上海市,市辖区,91310000607295634U002U,中涂化工（上海）有限公司,涂料制造,2020-08-24至2023-08-23,2020-08-24
194,上海市,市辖区,91310117741606632R001P,上海生农生化制品股份有限公司,化学农药制造,2021-09-08至2026-09-07,2021-09-07
195,上海市,市辖区,913101187557386795001Q,上海柒柒漆业有限公司,涂料制造,2020-07-24至2023-07-23,2020-07-24
196,上海市,市辖区,913100007421315363001U,上海大宝化工制品有限公司,涂料制造,2022-09-29至2027-09-28,2022-09-29
197,上海市,市辖区,913101187561494463001Q,上海彩奇亮粉末涂料有限公司,涂料制造,2022-09-29至2027-09-28,2022-09-29
198,上海市,市辖区,92310230MA1M44PU6X001U,上海市崇明县袁峰胶水工厂,其他专用化学产品制造,2022-03-14至2027-03-13,2022-03-14
199,上海市,市辖区,91310115607299571T001V,上海申得欧有限公司,涂料制造,2022-09-29至2027-09-28,2022-09-29
